file_name,cwe,line
gmic.co.uk.js,CWE-134,227
gogrow.club.js,CWE-134,227
gomeangreen.com.js,CWE-134,227
greasylake.org.js,CWE-134,227
greatwarforum.org.js,CWE-134,227
harmonycentral.com.js,CWE-134,227
harrylatino.org.js,CWE-134,227
hermanodeleche.com.js,CWE-134,227
herogames.com.js,CWE-134,227
high-stone-seeds.com.js,CWE-134,227
high-stone.pro.js,CWE-134,227
higherlevel.nl.js,CWE-134,227
hipstamp.com.js,CWE-134,197
hobbyschneiderin24.net.js,CWE-134,227
homecomingservers.com.js,CWE-134,227
homemasters.ru.js,CWE-134,227
hoosiersportsnation.com.js,CWE-134,227
houstonarchitecture.com.js,CWE-134,227
huntworld.ru.js,CWE-134,88
hybridz.org.js,CWE-134,227
hyperspin-fe.com.js,CWE-134,227
i-meble.eu.js,CWE-134,102
idolforums.com.js,CWE-134,227
iforgeiron.com.js,CWE-134,227
indiancricketfans.com.js,CWE-134,227
insanelymac.com.js,CWE-134,227
insomnia.gr.js,CWE-134,227
invisioncommunity.com.js,CWE-134,227
invisionpower.com.js,CWE-134,227
iosgods.com.js,CWE-134,227
iprog.pro.js,CWE-134,227
jeep4x4club.ru.js,CWE-134,227
jkhub.org.js,CWE-134,227
jwtalk.net.js,CWE-134,227
kammeret.no.js,CWE-134,227
kitrinomavro.com.js,CWE-134,227
konbaz.com.js,CWE-134,227
kosmetykaaut.pl.js,CWE-134,227
l-camera-forum.com.js,CWE-134,227
l2jbrasil.com.js,CWE-134,227
ladygaganow.net.js,CWE-134,227
laestokada.cl.js,CWE-134,227
lanos.com.ua.js,CWE-134,227
lcpdfr.com.js,CWE-134,227
legacygt.com.js,CWE-134,227
legalis.hr.js,CWE-134,227
linguaholic.com.js,CWE-134,227
liverpool-bulgaria.com.js,CWE-134,227
liverpoolway.co.uk.js,CWE-134,227
logicprohelp.com.js,CWE-134,227
losper.net.js,CWE-134,227
lplive.net.js,CWE-134,227
luening-24.de.js,CWE-134,146
madonna-infinity.net.js,CWE-134,227
magelanci.com.js,CWE-134,227
maipenrai.se.js,CWE-134,227
make-cash.pl.js,CWE-134,227
mammyland.com.js,CWE-134,227
mangas-fr.com.js,CWE-134,227
manilatonight.com.js,CWE-134,227
manxforums.com.js,CWE-134,227
mazdaclub.ru.js,CWE-134,227
mcseboard.de.js,CWE-134,227
mdrussia.ru.js,CWE-134,227
michanikos.gr.js,CWE-134,227
milfey-shop.ru.js,CWE-134,168
minecraftforge.net.js,CWE-134,227
mineimatorforums.com.js,CWE-134,227
mlpforums.com.js,CWE-134,227
mmsleak.com.js,CWE-134,227
mmsmasala.com.js,CWE-134,227
mochileiros.com.js,CWE-134,227
modaco.com.js,CWE-134,227
monacoers.org.js,CWE-134,227
mooneyspace.com.js,CWE-134,227
moriyashrine.org.js,CWE-134,227
mosaicco.com.js,CWE-134,85
motociclism.ro.js,CWE-134,227
mugenfreeforall.com.js,CWE-134,227
musclegrowth.net.js,CWE-134,227
mwcboard.com.js,CWE-134,227
mybeautyqueens.com.js,CWE-134,227
mycarforum.com.js,CWE-134,227
mygnrforum.com.js,CWE-134,227
myth-weavers.com.js,CWE-134,227
nano-reef.com.js,CWE-134,227
nerwica.com.js,CWE-134,227
