file_name,cwe,line
sunbasedata.com.js,CWE-20,413
suma.es.js,CWE-20,111
sugardaddyy.com.js,CWE-20,1239
stuffandnonsense.co.uk.js,CWE-20,10
studymonkey.ai.js,CWE-20,154
studygovt99.com.js,CWE-20,99
studioalpha.com.br.js,CWE-20,7
stsheet.com.js,CWE-20,113
strumpfhose.net.js,CWE-20,37
strandbuen.no.js,CWE-20,2745
strandbuen.no.js,CWE-20,485
storylineonline.net.js,CWE-20,91
stormtrack.org.js,CWE-20,37
stingtalk.com.js,CWE-20,37
steroidsourcetalk.cc.js,CWE-20,6
steinway.co.uk.js,CWE-20,81
stefna.is.js,CWE-20,413
staybloom.com.js,CWE-20,1912
status.news.js,CWE-20,113
staticflare.com.js,CWE-20,1307
starwarsrp.net.js,CWE-20,37
startbootstrap.com.js,CWE-20,1246
stake.pe.js,CWE-20,1
ssoidrajasthan.co.js,CWE-20,99
ssmahavidyalaya.org.js,CWE-20,99
sschittorgarh.com.js,CWE-20,99
squoosh.app.js,CWE-20,67
squoosh.app.js,CWE-20,67
sqorebda3.com.js,CWE-20,37
spurscommunity.co.uk.js,CWE-20,37
sps-forum.de.js,CWE-20,37
sportytrader.es.js,CWE-20,27
sportsman178.com.js,CWE-20,12
sportsline.com.js,CWE-20,16
sportshoop.la.js,CWE-20,37
sporting7.com.js,CWE-20,12
sporthoj.com.js,CWE-20,37
sportfishingbc.com.js,CWE-20,37
sportcenter.com.uy.js,CWE-20,10
spinscasinos.com.js,CWE-20,74
spinscasinos.com.js,CWE-20,59
spinscasinos.com.js,CWE-20,54
spinscasinos.com.js,CWE-20,46
spinscasinos.com.js,CWE-20,31
spinscasinos.com.js,CWE-20,26
spinscasinos.com.js,CWE-20,11
spieleoase.net.js,CWE-20,37
spieleforum.de.js,CWE-20,37
speedsolving.com.js,CWE-20,37
spacefucker.com.js,CWE-20,37
southwestfour.com.js,CWE-20,99
southernwx.com.js,CWE-20,37
somalispot.com.js,CWE-20,37
solvisportal.de.js,CWE-20,1258
soloarquitectura.com.js,CWE-20,37
sollevinson.com.js,CWE-20,413
soldionline.it.js,CWE-20,42
solarwords.com.js,CWE-20,99
soichat.com.js,CWE-20,1288
soichat.com.js,CWE-20,1285
socialgoodplatform.com.js,CWE-20,36
socialchess.com.js,CWE-20,336
soccerbet.ba.js,CWE-20,1891
snowandmud.com.js,CWE-20,37
snbforums.com.js,CWE-20,37
snatchlist.com.js,CWE-20,37
smokingmeatforums.com.js,CWE-20,37
smithfamilyfuneralhomes.com.js,CWE-20,413
smilesnap.com.js,CWE-20,413
smashmc.co.js,CWE-20,37
smartseer.com.js,CWE-20,413
smartrc.jp.js,CWE-20,12
smartmania.cz.js,CWE-20,50
smallformfactor.net.js,CWE-20,37
slutwives.com.js,CWE-20,37
sliv-info.com.js,CWE-20,37
skyexpress.gr.js,CWE-20,1258
skyexpress.com.js,CWE-20,1258
skybluestalk.co.uk.js,CWE-20,37
skodaforum.nl.js,CWE-20,37
skodacommunity.de.js,CWE-20,37
skladchinmore.net.js,CWE-20,37
skladchinabiz.biz.js,CWE-20,37
skladchiks.org.js,CWE-20,37
skladchikone.one.js,CWE-20,37
skladchikcom.org.js,CWE-20,37
skladchikc.co.js,CWE-20,37
skladchik.one.js,CWE-20,37
skinnygossip.com.js,CWE-20,6
skillboxes.com.js,CWE-20,1883
skial.com.js,CWE-20,6
sixcrazyminutes.com.js,CWE-20,37
sitemercado.com.br.js,CWE-20,1239
sitemason.com.js,CWE-20,413
sinodefenceforum.com.js,CWE-20,37
simpcity.su.js,CWE-20,37
simhachalamdevasthanam.net.js,CWE-20,99
silverpetticoatreview.com.js,CWE-20,29
